,restaurant_name,city,cuisines,swiggy_rating,swiggy_total_reviews,zomato_rating,zomato_total_reviews,avg_cost_per_person_inr,price_category,swiggy_delivery_fee_inr,zomato_delivery_fee_inr,swiggy_avg_delivery_time_minutes,zomato_avg_delivery_time_minutes,swiggy_estimated_monthly_orders,zomato_estimated_monthly_orders,swiggy_estimated_monthly_revenue_inr,zomato_estimated_monthly_revenue_inr,repeat_customer_pct,platform_performance_better
7391,Bombay Lebanese Diner,Mumbai,Lebanese; North Indian,4.3,2475,4.1,889,469,Mid-Range,53,43,27,29,340,241,159460,113029,50,Swiggy Better
7392,Bistro Thai Cafe (2),Bangalore,Thai,4.2,894,4.1,2407,239,Budget,28,34,16,19,299,274,71461,65486,44,Swiggy Better
7393,Nawab Eatery (3),Chennai,Thai,5,3410,5,1653,399,Mid-Range,58,48,30,30,421,482,167979,192318,63,Zomato Better
7394,Urban Mediterranean House,Ahmedabad,Mediterranean; Japanese,4.4,819,4.1,1527,560,Mid-Range,43,42,27,28,285,184,159600,103040,54,Swiggy Better
7395,Saffron Biryani Tadka,Ahmedabad,Biryani; Mexican,4.7,1012,4.9,2838,284,Budget,82,76,44,43,217,563,61628,159892,63,Zomato Better
7396,Spice Desserts Darbar,Delhi,Desserts,3.9,1471,3.9,1869,224,Budget,35,27,27,25,414,262,92736,58688,51,Swiggy Better
7397,Sunrise Chinese Point,Bangalore,Chinese; Cafe,4.7,1122,4.5,1434,746,Premium,34,36,21,20,423,211,315558,157406,61,Swiggy Better
7398,The Mexican Kitchen (3),Lucknow,Mexican; Italian,4.4,1446,4.3,771,226,Budget,48,48,22,30,338,306,76388,69156,49,Balanced
7399,Twist Cafe Kitchen Co.,Chennai,Cafe,3.5,521,3.9,1363,852,Premium,41,46,27,27,164,268,139728,228336,44,Zomato Better
7400,Basil Thai Cellar,Pune,Thai; Japanese,3.7,531,3.8,374,427,Mid-Range,32,31,24,24,216,138,92232,58926,34,Swiggy Better
7401,The Italian Deck (2),Bangalore,Italian; Thai,3.7,1315,3.7,1641,816,Premium,26,29,20,27,259,245,211344,199920,54,Swiggy Better
7402,Tandoor Japanese Hub,Bangalore,Japanese; Seafood,3.8,597,3.8,462,259,Budget,80,53,37,36,186,200,48174,51800,41,Zomato Better
7403,Bistro Tadka (6),Pune,Fast Food,3.9,2838,4,987,516,Mid-Range,28,30,19,28,322,188,166152,97008,54,Swiggy Better
7404,Lotus Street Diner,Pune,Street Food,4.4,1427,4.3,638,513,Mid-Range,38,42,29,27,212,227,108756,116451,51,Zomato Better
7405,Bistro Thai Eatery,Mumbai,Thai; Street Food,4.2,1996,4.3,2917,280,Budget,24,23,18,16,269,369,75320,103320,48,Zomato Better
7406,Wok Point (4),Jaipur,Mediterranean,4,900,3.9,1138,573,Mid-Range,104,94,45,57,182,129,104286,73917,45,Swiggy Better
7407,Roots Bhavan (10),Pune,Mediterranean,4.2,1015,4.2,1178,422,Mid-Range,29,34,20,24,171,244,72162,102968,62,Zomato Better
7408,Curry Cafe Bar & Grill,Pune,Cafe; Desserts,4.6,1508,4.6,562,488,Mid-Range,40,41,25,26,225,240,109800,117120,62,Zomato Better
7409,Delhi Hub (2),Bangalore,Pan-Asian,4.4,1053,4.4,1157,518,Mid-Range,29,28,16,19,201,139,104118,72002,57,Swiggy Better
7410,The Cafe Kitchen (6),Chennai,Cafe,4.6,1349,4.8,2356,413,Mid-Range,44,46,27,31,321,384,132573,158592,56,Zomato Better
7411,Sunrise Table (4),Chennai,Mexican; Chinese,5,1306,5,1060,325,Mid-Range,87,89,43,46,360,318,117000,103350,75,Swiggy Better
7412,Royal Continental Cellar,Mumbai,Continental,5,380,4.9,1324,205,Budget,28,31,24,24,109,301,22345,61705,68,Zomato Better
7413,Bistro Foods (8),Pune,Lebanese; Multi-Cuisine,4.2,1765,4.9,673,137,Budget,46,49,27,26,260,210,35620,28770,62,Swiggy Better
7414,Twist South Kitchen Co.,Hyderabad,South Indian,4.9,2967,4.7,1048,834,Premium,37,34,24,28,418,323,348612,269382,64,Swiggy Better
7415,The North Bhavan (8),Kolkata,North Indian; Multi-Cuisine,4.5,502,4.4,594,358,Mid-Range,38,39,22,27,185,227,66230,81266,60,Zomato Better
7416,Barrel Cafe (5),Bangalore,Vegan,4,1235,3.9,286,1620,Luxury,42,42,29,19,161,110,260820,178200,36,Swiggy Better
7417,Urban Junction (5),Ahmedabad,Desserts; Thai,4.4,1414,4.8,1328,286,Budget,26,27,15,21,218,359,62348,102674,54,Zomato Better
7418,Green Seafood Eatery,Delhi,Seafood,4.7,1620,4.8,1664,575,Mid-Range,54,47,27,23,426,222,244950,127650,63,Swiggy Better
7419,Wok Multi-Cuisine Kitchen Co.,Mumbai,Multi-Cuisine; Continental,4.1,2283,4.4,1351,471,Mid-Range,62,55,34,34,277,299,130467,140829,41,Zomato Better
7420,The Continental Eatery (7),Mumbai,Continental,3.9,1582,4,1971,517,Mid-Range,35,29,25,27,221,320,114257,165440,46,Zomato Better
7421,The Korean Bowl (5),Bangalore,Korean; Fast Food,4,808,4.2,1643,518,Mid-Range,60,67,36,35,243,212,125874,109816,48,Swiggy Better
7422,Cinnamon Vietnamese House,Bangalore,Vietnamese; Pan-Asian,4.4,3348,4.5,2391,446,Mid-Range,67,67,38,36,392,391,174832,174386,56,Swiggy Better
7423,Basil Korean House,Delhi,Korean,4.9,955,5,789,342,Mid-Range,60,59,36,32,239,286,81738,97812,69,Zomato Better
7424,Bamboo Biryani Kitchen,Chennai,Biryani; Thai,5,1614,4.9,598,2837,Luxury,19,24,23,20,196,163,556052,462431,64,Swiggy Better
7425,Urban Kitchen Co. (3),Bangalore,Continental,4.2,2212,4.5,2346,425,Mid-Range,49,51,31,36,315,408,133875,173400,63,Zomato Better
7426,The Vietnamese Corner (4),Lucknow,Vietnamese,4.4,509,4.2,2919,359,Mid-Range,46,53,30,30,161,332,57799,119188,55,Zomato Better
7427,Spice Biryani Republic,Mumbai,Biryani,4.4,2384,4.5,1824,165,Budget,17,26,19,18,296,317,48840,52305,61,Balanced
7428,Golden Express (4),Pune,Mughlai,4.5,765,4.6,2097,375,Mid-Range,34,30,27,26,266,245,99750,91875,67,Swiggy Better
7429,Harvest South Bar & Grill,Jaipur,South Indian,4.2,402,4.3,563,263,Budget,41,42,23,23,103,227,27089,59701,60,Zomato Better
7430,The Mexican Tadka (4),Kolkata,Mexican,4.5,1124,4.8,617,153,Budget,29,29,25,25,231,152,35343,23256,67,Swiggy Better
7431,Urban Street Express (2),Hyderabad,Street Food; Bakery,4.5,703,4.4,1068,561,Mid-Range,40,29,23,26,225,398,126225,223278,68,Zomato Better
7432,Lotus Japanese Foods,Chennai,Japanese,4.3,1353,4.3,2737,254,Budget,70,74,41,41,379,522,96266,132588,52,Zomato Better
7433,Ember Pan-Asian Bowl,Mumbai,Pan-Asian; Multi-Cuisine,4,978,4.2,1917,168,Budget,34,28,21,21,192,288,32256,48384,48,Zomato Better
7434,Saffron Corner (5),Mumbai,Multi-Cuisine; Seafood,4.7,1944,4.7,2400,449,Mid-Range,34,33,20,25,234,324,105066,145476,70,Zomato Better
7435,Copper Street Bowl,Delhi,Street Food,4.7,2242,4.7,709,797,Premium,54,65,34,32,383,337,305251,268589,61,Swiggy Better
7436,Heritage Chinese Bar & Grill,Mumbai,Chinese,4.4,554,4.3,1424,742,Premium,43,39,25,26,193,373,143206,276766,57,Zomato Better
7437,The Italian Darbar (4),Delhi,Italian; Biryani,4.6,829,4.6,1826,2185,Luxury,41,54,29,31,148,232,323380,506920,54,Zomato Better
7438,Delhi Seafood Bar & Grill,Bangalore,Seafood; Italian,4.7,3319,4.6,1813,327,Mid-Range,39,39,26,23,413,460,135051,150420,66,Zomato Better
7439,Ember Vietnamese Bhavan,Jaipur,Vietnamese; Biryani,5,3404,5,1203,260,Budget,38,34,28,29,473,163,122980,42380,57,Swiggy Better
7440,Spice Mughlai Point,Ahmedabad,Mughlai; Mexican,4.4,2357,4.6,1809,596,Mid-Range,45,42,20,22,349,257,208004,153172,65,Swiggy Better
7441,Tandoor Bar & Grill (3),Kolkata,Cafe; Mughlai,4.5,2370,4.4,1413,470,Mid-Range,41,45,24,26,462,415,217140,195050,59,Swiggy Better
7442,Harvest Hub (3),Chennai,Pan-Asian; Vietnamese,4.2,1161,4.4,1488,381,Mid-Range,50,58,30,32,342,352,130302,134112,45,Zomato Better
7443,Nawab Bar & Grill,Mumbai,South Indian,4.3,1447,4.8,1557,766,Premium,28,36,24,24,199,322,152434,246652,62,Zomato Better
7444,Saffron House (5),Mumbai,Pan-Asian,4.4,1588,4.2,2598,299,Budget,38,27,20,17,301,298,89999,89102,51,Zomato Better
7445,The Vietnamese Bhavan (6),Hyderabad,Vietnamese; Multi-Cuisine,4.5,1243,4.6,1051,604,Mid-Range,67,64,34,30,208,279,125632,168516,61,Zomato Better
7446,Bombay Cafe Junction,Hyderabad,Cafe,4.8,1823,4.7,858,1350,Luxury,39,43,22,31,217,178,292950,240300,56,Swiggy Better
7447,Urban Bowl (5),Delhi,Desserts; Multi-Cuisine,4.1,1412,4,804,1544,Luxury,31,28,24,21,261,122,402984,188368,50,Swiggy Better
7448,The Vietnamese Kitchen (5),Delhi,Vietnamese; Italian,4.1,1463,4.2,795,382,Mid-Range,51,40,30,25,265,248,101230,94736,56,Swiggy Better
7449,Zaffran Italian Grill,Delhi,Italian; Desserts,3.8,977,3.7,1964,601,Mid-Range,38,39,30,22,284,268,170684,161068,43,Balanced
7450,Bamboo Cafe Republic,Bangalore,Cafe,4.6,1062,4.7,758,842,Premium,64,63,35,30,322,352,271124,296384,57,Zomato Better
7451,The Vegan Room (2),Bangalore,Vegan; Lebanese,4,1322,4.2,1178,351,Mid-Range,32,39,27,18,270,242,94770,84942,41,Swiggy Better
7452,Curry Desserts Deck,Delhi,Desserts; Mediterranean,4.7,6651,4.6,2814,209,Budget,32,35,22,28,746,409,155914,85481,69,Swiggy Better
7453,Curry North Foods,Hyderabad,North Indian,4.3,619,4.2,1904,374,Mid-Range,35,28,21,29,182,305,68068,114070,60,Zomato Better
7454,Ember Bowl (6),Jaipur,Cafe,3.8,425,3.7,1846,511,Mid-Range,46,47,31,32,133,235,67963,120085,41,Zomato Better
7455,The Italian Diner (5),Pune,Italian,4.8,892,4.3,1011,218,Budget,67,62,36,40,249,178,54282,38804,59,Swiggy Better
7456,Coastal Vietnamese Bowl,Chennai,Vietnamese; Desserts,4.5,1071,5,1539,204,Budget,57,50,34,28,367,213,74868,43452,56,Swiggy Better
7457,Royal Lebanese Foods,Kolkata,Lebanese,3.9,1851,3.6,1483,844,Premium,58,52,32,38,358,290,302152,244760,44,Swiggy Better
7458,The Mughlai Corner (5),Mumbai,Mughlai,4.9,2429,5,2900,573,Mid-Range,27,31,23,16,325,418,186225,239514,57,Zomato Better
7459,Zaffran Pan-Asian Tadka,Hyderabad,Pan-Asian; Thai,3.9,2172,4,1353,1111,Premium,27,22,22,16,246,180,273306,199980,54,Swiggy Better
7460,The North Bites (4),Delhi,North Indian,4.4,2542,4.4,945,330,Mid-Range,30,27,21,27,351,373,115830,123090,56,Zomato Better
7461,Lotus Mediterranean Bhavan,Pune,Mediterranean; Fast Food,4.6,2530,4.8,834,367,Mid-Range,39,36,26,27,292,194,107164,71198,68,Swiggy Better
7462,Saffron Vietnamese Eatery,Mumbai,Vietnamese,4.3,446,4.3,1195,201,Budget,36,38,25,28,202,150,40602,30150,57,Swiggy Better
7463,The Mughlai Bar & Grill (2),Ahmedabad,Mughlai; Italian,4.4,981,4.6,687,339,Mid-Range,34,22,16,26,178,190,60342,64410,65,Zomato Better
7464,Sunrise Bhavan (2),Jaipur,Multi-Cuisine,4.4,1430,4.4,717,196,Budget,15,15,21,19,180,127,35280,24892,51,Swiggy Better
7465,Curry Thai House,Mumbai,Thai,4.8,667,4.5,1238,279,Budget,51,54,34,26,203,368,56637,102672,62,Zomato Better
7466,The Bakery Kitchen (3),Bangalore,Bakery; Vietnamese,3.8,1329,4,702,191,Budget,74,70,36,40,240,245,45840,46795,50,Swiggy Better
7467,Bistro Table,Bangalore,Thai; Mexican,4.4,2172,4.5,1690,291,Budget,53,64,35,35,242,323,70422,93993,50,Zomato Better
7468,Copper Spot (5),Kolkata,Seafood,4.3,1794,4.7,2479,644,Mid-Range,37,40,20,27,204,326,131376,209944,54,Zomato Better
7469,Nawab Lebanese Grill,Pune,Lebanese,4.3,1743,4.2,1862,853,Premium,52,45,26,26,194,243,165482,207279,46,Zomato Better
7470,The South Bowl (6),Mumbai,South Indian,3.5,460,3.6,918,596,Mid-Range,35,29,20,23,217,185,129332,110260,37,Swiggy Better
7471,The Thai Kitchen (5),Kolkata,Thai; Pan-Asian,4.9,1694,4.5,1329,861,Premium,41,45,21,23,326,192,280686,165312,58,Swiggy Better
7472,The Multi-Cuisine Grill (6),Delhi,Multi-Cuisine,4.8,2258,4.9,2005,307,Mid-Range,42,44,24,28,350,324,107450,99468,69,Swiggy Better
7473,Curry Multi-Cuisine Grill,Delhi,Multi-Cuisine; Chinese,4.4,508,4.3,1168,139,Budget,45,51,32,29,197,289,27383,40171,59,Zomato Better
7474,The Mexican Spot (3),Delhi,Mexican,3.8,546,3.9,847,521,Mid-Range,36,33,24,27,249,181,129729,94301,41,Swiggy Better
7475,The Italian Bhavan (7),Pune,Italian; Mexican,4,1425,3.8,1175,326,Mid-Range,102,94,49,45,218,152,71068,49552,44,Swiggy Better
7476,Ember Pan-Asian Hub,Delhi,Pan-Asian,4.7,3297,4.4,730,528,Mid-Range,28,28,21,18,518,306,273504,161568,58,Swiggy Better
7477,The Street House (4),Bangalore,Street Food; Multi-Cuisine,4.2,536,4.2,802,206,Budget,44,45,25,31,208,236,42848,48616,58,Zomato Better
7478,The Vegan Foods (4),Delhi,Vegan; Desserts,4.4,1135,4.3,1115,659,Mid-Range,57,52,32,28,305,242,200995,159478,45,Swiggy Better
7479,Urban Thai Diner (2),Ahmedabad,Thai; Vietnamese,4.1,827,4.2,733,624,Mid-Range,30,27,27,22,119,188,74256,117312,55,Zomato Better
7480,Nawab Street Kitchen Co.,Pune,Street Food,4.9,1500,4.5,806,809,Premium,32,28,18,24,232,117,187688,94653,55,Swiggy Better
7481,Urban Mediterranean Bar & Grill,Jaipur,Mediterranean; Multi-Cuisine,4.5,1077,4.7,735,616,Mid-Range,53,57,36,32,234,222,144144,136752,53,Balanced
7482,Silk Chinese Express,Pune,Chinese,5,1891,5,916,242,Budget,104,93,47,54,235,234,56870,56628,73,Zomato Better
7483,Zaffran Cellar (4),Chennai,Japanese,4.1,415,4.5,1791,679,Mid-Range,21,25,19,19,179,261,121541,177219,48,Zomato Better
7484,The Thai Junction (7),Bangalore,Thai; South Indian,4.2,960,4.5,939,315,Mid-Range,98,104,48,53,209,145,65835,45675,61,Swiggy Better
7485,The Fast Eatery (7),Kolkata,Fast Food,4.4,1192,4.6,2724,285,Budget,55,51,31,38,368,478,104880,136230,51,Zomato Better
7486,The Seafood Foods (3),Bangalore,Seafood,3.7,2045,3.6,766,297,Budget,49,39,27,25,241,250,71577,74250,44,Balanced
7487,The Thai Cafe (2),Mumbai,Thai,4.6,2611,4.5,1909,338,Mid-Range,53,54,28,32,425,323,143650,109174,53,Swiggy Better
7488,Lotus Lebanese Kitchen,Mumbai,Lebanese,4.1,1586,4.1,559,539,Mid-Range,62,64,34,35,391,264,210749,142296,44,Swiggy Better
7489,Bamboo Fast Spot,Mumbai,Fast Food,4.4,1944,4.6,2026,298,Budget,40,39,28,26,230,227,68540,67646,52,Zomato Better
7490,Heritage Hub (5),Jaipur,Street Food,4.6,752,5,2359,428,Mid-Range,120,109,50,53,112,265,47936,113420,60,Zomato Better
7491,Green House (5),Lucknow,Desserts,4.2,856,4.2,1888,427,Mid-Range,100,99,52,49,99,293,42273,125111,53,Zomato Better
7492,The Bakery Bhavan (2),Chennai,Bakery; Seafood,4,1055,4.4,3417,264,Budget,32,34,21,28,241,568,63624,149952,65,Zomato Better
7493,The North Cellar (3),Mumbai,North Indian; Cafe,4.4,1589,4.4,2281,625,Mid-Range,45,47,27,31,199,280,124375,175000,54,Zomato Better
7494,Golden Vegan Darbar,Ahmedabad,Vegan,5,1455,5,849,716,Premium,31,27,20,21,225,199,161100,142484,68,Swiggy Better
7495,Sunrise Spot (4),Chennai,Mediterranean,4.2,921,3.9,848,505,Mid-Range,22,22,22,20,336,382,169680,192910,36,Zomato Better
7496,The Biryani Junction (3),Bangalore,Biryani,3.8,1579,3.7,1053,561,Mid-Range,46,44,28,24,401,249,224961,139689,41,Swiggy Better
7497,The Thai Kitchen Co. (3),Pune,Thai; Vegan,4.2,2174,4.3,839,771,Premium,38,48,29,29,257,176,198147,135696,40,Swiggy Better
7498,The Continental Bar & Grill (5),Hyderabad,Continental,4,1092,3.9,1178,576,Mid-Range,28,28,23,16,204,185,117504,106560,36,Swiggy Better
7499,The Vegan Table (7),Mumbai,Vegan; Cafe,3.9,2090,3.9,1081,358,Mid-Range,62,56,29,33,261,189,93438,67662,37,Swiggy Better
7500,Terrace Point (2),Pune,Lebanese; Vegan,5,2460,5,1407,256,Budget,48,49,30,34,319,564,81664,144384,65,Zomato Better
7501,Urban Darbar (3),Chennai,Pan-Asian; Bakery,4.6,1849,4.5,1982,378,Mid-Range,42,40,36,28,306,345,115668,130410,57,Zomato Better
7502,Heritage Bhavan (2),Bangalore,Fast Food; Street Food,4.5,1644,4.6,2515,1228,Premium,32,32,24,28,188,302,230864,370856,56,Zomato Better
7503,The Lebanese Tadka (5),Delhi,Lebanese,4.5,601,4.5,2322,154,Budget,37,35,27,24,229,480,35266,73920,50,Zomato Better
7504,The Street Room (3),Pune,Street Food; Pan-Asian,4.7,500,4.6,689,512,Mid-Range,39,39,26,21,167,276,85504,141312,58,Zomato Better
7505,Spice Pan-Asian Bowl,Chennai,Pan-Asian,4.7,2510,4.7,1732,272,Budget,34,27,25,23,279,218,75888,59296,63,Swiggy Better
7506,The Cafe Cellar (4),Lucknow,Cafe,4.7,2392,4.8,598,266,Budget,31,36,21,26,269,179,71554,47614,73,Swiggy Better
7507,The South Bhavan (4),Ahmedabad,South Indian; North Indian,4.2,849,4.2,1761,468,Mid-Range,28,25,23,24,184,242,86112,113256,44,Zomato Better
7508,Barrel Desserts Foods,Hyderabad,Desserts; Vegan,3.5,631,3.7,1381,345,Mid-Range,53,50,26,26,125,268,43125,92460,30,Zomato Better
7509,Copper Italian Cellar,Pune,Italian; Continental,4.5,1564,4.4,934,818,Premium,32,29,17,21,198,247,161964,202046,61,Zomato Better
7510,The Cafe Bowl (4),Hyderabad,Cafe,4.1,805,3.8,726,388,Mid-Range,60,60,33,36,201,267,77988,103596,42,Zomato Better
7511,Wok Cellar (4),Pune,South Indian; Chinese,4.3,462,4.1,1147,399,Mid-Range,35,37,24,24,178,251,71022,100149,54,Zomato Better
7512,Copper Room (6),Mumbai,Thai,4.8,1997,4.6,1920,357,Mid-Range,54,42,33,33,322,364,114954,129948,70,Zomato Better
7513,Saffron Multi-Cuisine Deck (2),Chennai,Multi-Cuisine,4.3,1373,4.2,2727,1228,Premium,38,40,27,25,230,331,282440,406468,52,Zomato Better
7514,Coastal Cafe (3),Chennai,Mediterranean,4.9,2359,5,713,619,Mid-Range,33,24,20,20,330,245,204270,151655,62,Swiggy Better
7515,Harvest Desserts Foods,Pune,Desserts; Seafood,4.4,1184,4.6,1289,388,Mid-Range,69,56,39,36,174,212,67512,82256,56,Zomato Better
7516,The Lebanese Room (9),Ahmedabad,Lebanese; Korean,4.2,1836,4.2,473,324,Mid-Range,81,76,44,41,359,149,116316,48276,59,Swiggy Better
7517,Royal Deck (3),Hyderabad,South Indian,3.9,1456,4.2,1746,320,Mid-Range,47,36,20,25,360,429,115200,137280,49,Zomato Better
7518,Wok Cafe (2),Delhi,Bakery; Korean,4.7,1439,4.5,1599,475,Mid-Range,27,19,19,23,246,268,116850,127300,71,Zomato Better
7519,Silk Mughlai Grill,Mumbai,Mughlai,4.8,1620,4.8,406,167,Budget,48,47,29,29,281,203,46927,33901,71,Swiggy Better
7520,Basil Foods (6),Mumbai,Thai,4.1,1826,4,636,681,Mid-Range,48,43,24,25,222,192,151182,130752,40,Swiggy Better
7521,The Multi-Cuisine Kitchen Co. (5),Delhi,Multi-Cuisine,4.9,3141,5,948,394,Mid-Range,22,34,22,25,479,265,188726,104410,72,Swiggy Better
7522,Silk Korean Bowl,Delhi,Korean; Italian,4.6,1052,4.6,1305,1924,Luxury,38,41,25,31,247,158,475228,303992,49,Swiggy Better
7523,Cinnamon Seafood Room,Mumbai,Seafood,4.7,1277,5,1466,604,Mid-Range,67,72,36,41,215,366,129860,221064,72,Zomato Better
7524,Bombay Republic (7),Bangalore,Biryani,4.2,1524,4.1,1932,455,Mid-Range,65,62,38,36,282,284,128310,129220,46,Swiggy Better
7525,Basil Japanese Eatery,Bangalore,Japanese,4.7,2712,4.6,1322,265,Budget,39,41,22,26,370,444,98050,117660,63,Zomato Better
7526,Tandoor Bakery House,Kolkata,Bakery; Seafood,4.2,1201,4.2,703,1419,Luxury,36,37,26,23,195,177,276705,251163,57,Swiggy Better
7527,The Continental Bowl (7),Chennai,Continental,4.3,769,4.4,3005,193,Budget,29,28,26,20,175,354,33775,68322,55,Zomato Better
7528,Green South Bar & Grill,Delhi,South Indian,4.5,460,4.7,1053,1150,Premium,38,41,25,21,205,212,235750,243800,64,Zomato Better
7529,Ember Grill (4),Mumbai,Bakery,4.6,1073,4,1315,943,Premium,45,42,26,28,341,243,321563,229149,58,Swiggy Better
7530,Lotus Darbar (5),Mumbai,Korean,4.1,1726,4.2,1919,312,Mid-Range,43,45,23,26,271,291,84552,90792,47,Swiggy Better
7531,Bistro Bakery Bhavan,Mumbai,Bakery; South Indian,4.3,1426,4.1,647,148,Budget,47,43,35,28,317,203,46916,30044,54,Swiggy Better
7532,Barrel Chinese Kitchen,Delhi,Chinese; Cafe,5,1447,4.9,2429,323,Mid-Range,51,50,31,29,287,399,92701,128877,68,Zomato Better
7533,Bistro Mughlai Deck,Mumbai,Mughlai,4.9,869,4.8,1797,263,Budget,38,38,22,23,232,308,61016,81004,62,Zomato Better
7534,Bistro Mexican Deck,Bangalore,Mexican,4.8,1784,4.3,1307,154,Budget,63,50,33,35,306,269,47124,41426,58,Swiggy Better
7535,Golden Biryani Cellar,Lucknow,Biryani,4,1260,4.2,1213,621,Mid-Range,58,61,30,33,195,272,121095,168912,39,Zomato Better
7536,Heritage Italian Kitchen (2),Pune,Italian,4,831,3.8,189,1406,Luxury,50,50,22,28,116,87,163096,122322,36,Swiggy Better
7537,The South Table (4),Kolkata,South Indian; Chinese,4.8,799,4.6,1519,179,Budget,105,105,52,55,311,234,55669,41886,59,Swiggy Better
7538,Sunrise Hub (3),Mumbai,Chinese,4.4,609,4.1,1487,982,Premium,49,47,28,30,285,305,279870,299510,55,Balanced
7539,Royal House (5),Bangalore,Seafood,3.8,2490,3.8,3008,253,Budget,25,28,24,16,317,358,80201,90574,44,Zomato Better
7540,Ember Hub (2),Jaipur,Korean,3.9,467,3.9,1415,878,Premium,44,35,23,32,176,224,154528,196672,48,Zomato Better
7541,Tandoor Mughlai Grill,Delhi,Mughlai; Japanese,3.6,379,3.6,600,1496,Luxury,37,43,24,23,144,217,215424,324632,24,Zomato Better
7542,Tandoor Street Point,Hyderabad,Street Food,4,2500,3.7,823,553,Mid-Range,25,29,16,18,369,231,204057,127743,39,Swiggy Better
7543,The Japanese Kitchen Co. (6),Lucknow,Japanese,5,1781,4.9,515,344,Mid-Range,37,32,25,20,212,191,72928,65704,67,Swiggy Better
7544,Bombay Cafe Foods,Pune,Cafe,4.4,618,4.2,1382,296,Budget,55,55,34,35,165,171,48840,50616,53,Swiggy Better
7545,Terrace Cellar (2),Bangalore,Continental,3.7,2165,4.1,629,723,Premium,56,68,36,38,314,141,227022,101943,40,Swiggy Better
7546,Saffron Cafe Spot (2),Pune,Cafe,4.7,1940,4.7,538,254,Budget,86,80,47,40,273,219,69342,55626,70,Swiggy Better
7547,Royal Chinese Spot,Mumbai,Chinese,4.5,699,4.6,2076,909,Premium,50,50,24,30,259,377,235431,342693,62,Zomato Better
7548,Zaffran Street Bar & Grill (2),Mumbai,Street Food,5,813,4.6,1574,208,Budget,55,49,29,33,238,311,49504,64688,64,Zomato Better
7549,Curry Bakery Deck (2),Mumbai,Bakery,4,1745,4.1,848,356,Mid-Range,33,36,23,25,235,254,83660,90424,45,Zomato Better
7550,Zaffran Hub (8),Ahmedabad,Fast Food; Chinese,4.5,1718,4.5,1039,421,Mid-Range,55,53,32,38,300,317,126300,133457,54,Zomato Better
7551,Curry Mughlai Grill,Hyderabad,Mughlai,4.1,2544,4.2,1514,1393,Luxury,46,45,32,34,309,256,430437,356608,43,Swiggy Better
7552,Barrel Korean Bites,Bangalore,Korean,4.4,1511,4.3,2684,379,Mid-Range,35,40,28,24,175,302,66325,114458,55,Zomato Better
7553,The Multi-Cuisine Diner (6),Bangalore,Multi-Cuisine,4.8,653,4.9,1822,376,Mid-Range,95,80,40,40,294,399,110544,150024,68,Zomato Better
7554,The Pan-Asian House (8),Hyderabad,Pan-Asian,4.4,3069,4.5,1257,344,Mid-Range,32,32,22,20,405,255,139320,87720,56,Swiggy Better
7555,Roots Bhavan (11),Jaipur,Continental,3.7,907,3.4,1475,381,Mid-Range,44,47,22,27,195,255,74295,97155,31,Zomato Better
7556,Basil Vegan Room,Bangalore,Vegan; Mediterranean,3.7,779,3.9,2272,326,Mid-Range,67,72,37,37,271,293,88346,95518,45,Balanced
7557,Green Point (6),Bangalore,Mediterranean,4.7,1193,4.4,1619,775,Premium,33,32,25,20,213,309,165075,239475,63,Zomato Better
7558,Urban Street Table,Ahmedabad,Street Food,4.6,861,4.7,1232,425,Mid-Range,31,31,25,20,148,160,62900,68000,60,Balanced
7559,Coastal Bowl (2),Ahmedabad,Vietnamese,4.9,1549,4.5,4613,334,Mid-Range,52,51,34,33,258,521,86172,174014,65,Zomato Better
7560,Sunrise Kitchen Co. (3),Jaipur,Vegan,4.5,740,4.6,1945,393,Mid-Range,62,59,36,33,169,257,66417,101001,61,Zomato Better
7561,Roots Chinese Hub,Bangalore,Chinese,4.4,2110,4.3,2269,227,Budget,48,31,31,22,426,376,96702,85352,52,Swiggy Better
7562,The Pan-Asian Junction (5),Mumbai,Pan-Asian,3.9,3909,3.8,2469,488,Mid-Range,42,42,25,29,437,308,213256,150304,34,Swiggy Better
7563,Spice Tadka (3),Delhi,Italian; Lebanese,4.3,1241,4.2,3011,279,Budget,42,43,30,35,293,418,81747,116622,52,Zomato Better
7564,Copper Thai Bar & Grill,Bangalore,Thai; South Indian,4,652,3.9,2329,336,Mid-Range,61,56,36,32,295,264,99120,88704,37,Swiggy Better
7565,Saffron Deck (2),Ahmedabad,Mughlai; North Indian,4.6,1322,4.6,2344,198,Budget,59,66,33,37,182,305,36036,60390,55,Zomato Better
7566,Ember Biryani Darbar,Mumbai,Biryani; Cafe,4.4,1842,4.7,1299,239,Budget,76,68,40,41,336,170,80304,40630,51,Swiggy Better
7567,Spice Chinese Kitchen Co.,Hyderabad,Chinese,4.8,3554,4.7,962,379,Mid-Range,77,68,40,42,473,336,179267,127344,72,Swiggy Better
7568,The Mughlai Bites (6),Ahmedabad,Mughlai,4.2,1506,4.2,2904,408,Mid-Range,50,44,27,30,278,382,113424,155856,46,Zomato Better
7569,Twist Bites (4),Lucknow,Fast Food,4,1244,4.1,1198,237,Budget,26,24,21,18,174,143,41238,33891,51,Swiggy Better
7570,The Japanese Express (7),Hyderabad,Japanese; Seafood,4.5,1073,4.6,2334,794,Premium,32,37,24,27,297,296,235818,235024,66,Swiggy Better
